Name,Ratings,Date,Product Name,reviewURL,reviewHeader,reviewBody
,10,"Aug 26, 2024",cloudways,https://www.g2.com/products/cloudways/reviews/cloudways-review-10044843,"""Outstanding Over-the-Top Customer Support""","What do you like best about Cloudways?Their Support Team is outstanding.  I'm not talking about paid support, I'm talking about normal-people support. I have their basic bottom-of-the-line type of account.What do you dislike about Cloudways?I have not found something that I don't like about Cloudways so far.What problems is Cloudways solving and how is that benefiting you?Ease of Use.  They just make it simple and obvious."
Muhammad S.,9,"Aug 26, 2024",cloudways,https://www.g2.com/products/cloudways/reviews/cloudways-review-10049275,"""Great hosting provider for hosting applications.""","What do you like best about Cloudways?Cloudways is one of the best hosting providers out there. It  has very simple UI and has 24/7 support available. It offered me $100 in credits for deplying wordpress applications.
It also provided free SSL certificates.
Highly recommended.What do you dislike about Cloudways?Cloudways may become expensive if you want to host less applications with low traffic, it will be costlier, the same application can be deployed on cheaper platforms, so if you want to host a simple application, with simple bandwith and ram, cloudways is not an ideal choice.
With that I would like to mention there are some cache issues for cloudways applications which affected hosted applications.What problems is Cloudways solving and how is that benefiting you?Cloudways is helping us in hosting appliactions on it very easily. It is the most seamless hosting provider we have found."
Muhammad B.,9,"Aug 25, 2024",cloudways,https://www.g2.com/products/cloudways/reviews/cloudways-review-10047263,"""Best hosting provider for mid sized to large sized applications.""","What do you like best about Cloudways?Cloudways works smooth for deploying applications on servers, It has very fine UI which makes it easy to use. There support is available everytime, and it integrates easily with other platforms.What do you dislike about Cloudways?Only one thing that I dislike about  Cloudways is that auto clear cache option is not available and you have to purge for every application.What problems is Cloudways solving and how is that benefiting you?It reduces time and effort spent on server management and deployment of applications.And resolves issues quickly and with full-time support available"
vaishali a.,10,"Aug 23, 2024",cloudways,https://www.g2.com/products/cloudways/reviews/cloudways-review-10044068,"""""Easy, Friendly Interface and High performance""""","What do you like best about Cloudways?I was a little scared When a cowoker suggested that I buy a server from cloudways on my own. I found the terrain to be unfamiliar,but Cloudways made it simple.To Guide someone with minimal experince through the process of adding a domain and website  to the server, there is a wealth of online assistance and explainers available .when I made mistakes--which happened extremely infrequently--support was there. it was easy even to set up a email (with Rackspace).The services has been reliable and steady with no outages or other problems and my developers had no trouble gaining access.when there was a server change, Cloudways own workers intervened to assist. My time and money were respected in the manner that this was completed.Overall, it was a wonderful experince that increased my knowledge and confidence.perhaps all managed server providers are this excellent,but I have no desire to find out.What do you dislike about Cloudways?while Cloudways offers cheap pricing,it may not to be the most cost-effective option for small website or individual projects. people must think about their hosting requirements and finances.Cloudways does not offer email hosting; instead, it focuses on web hosting. It may be necessary for people to look for seperate email hosting solutions, Which could be less convenient.What problems is Cloudways solving and how is that benefiting you?My experience with Cloudways platforms is always positive and I rarely run into any problems.I can't however, comment on how well they handle any potential problems that might come up for other users because I personally encountered any hosting issues. We were able to deploy website hosting internallywithout the needto hire a developer or engineer because cloudways is easy to host and doesn't require further knowledge. I am able to provide cost-effective individuals resources to several clients while hosting them."
Adithya S.,10,"Aug 22, 2024",cloudways,https://www.g2.com/products/cloudways/reviews/cloudways-review-10033426,"""Great and best hosting for WordPress.""","What do you like best about Cloudways?Installing Cloudways was a cake walk for me as it enables the users to easily integrate their solutions with the business domain. The hosting's performance is impressive, especially while running a WordPress site.

Cloudways customer support is really appreciated as the turn around time would be less when compared to their peers.What do you dislike about Cloudways?Nothing much to mention in this area. However, for small and medium scale enterprises it might be a bit cost expensive.What problems is Cloudways solving and how is that benefiting you?Cloudways supports WordPress by reducing the time to load the multiple websites at once. It mainly helps to deploy our applications on servers in no time."
Taha B.,9,"Aug 19, 2024",cloudways,https://www.g2.com/products/cloudways/reviews/cloudways-review-10021251,"""Best Hosting Solution""",What do you like best about Cloudways?Cloudways offer one of the best solutions and infrastructure for your application with an excellent 24 Hours Support.What do you dislike about Cloudways?I feel that I was baited with the discount offers that I didn't see after subscribing.What problems is Cloudways solving and how is that benefiting you?Reduces DevOps Costs and saves a lot of setup time.
Kyle B.,10,"Aug 19, 2024",cloudways,https://www.g2.com/products/cloudways/reviews/cloudways-review-10020998,"""The BEST Support Team & a GREAT product to boot""","What do you like best about Cloudways?I'll be the first to admit - I don't know that much about hosting and servers and all that jazz.  And you know what, that's okay, thanks to the Cloudways support team.  I've used other services before, including GoDaddy, and their product and support process was always painful, and it made me feel less confident. Thanksfully with Cloudways, my peace of mind is 100%What do you dislike about Cloudways?I haven't had one bad experience, so nothing to share here.What problems is Cloudways solving and how is that benefiting you?Cloudways keeps my website and my clients websites running smoothly 24/7/365"
Tomi J.,10,"Aug 16, 2024",cloudways,https://www.g2.com/products/cloudways/reviews/cloudways-review-10012126,"""Amazingly simple Wordpress hosting""","What do you like best about Cloudways?Installing our Wordpress instance on Cloudways was a breeze. One click implementation. One click SSL / domain integration. Everything works instantly and had blazing fast scores on Pagespeed.dev. We've used the service for a month. 

I also liked the one-click staging feature, being able to set up a staging instance and pull / push requests from production enviroment.

I did not need Customer Support to help me because everything was so easy.What do you dislike about Cloudways?Cloudways is a little more expensive compared to a bare bones droplet, however much easier to manage multiple apps on a single server which is worth the extra cost and saved headaches. The interface is so easy to manage that you do not need to be a developer.What problems is Cloudways solving and how is that benefiting you?Cloudways provides an easy-to-manage interface to host a website and unburdens you in managing the server. One-click install for new instances."
,10,"Aug 15, 2024",cloudways,https://www.g2.com/products/cloudways/reviews/cloudways-review-10008405,"""Affordable, secure, and easy to use""","What do you like best about Cloudways?The best part about Cloudways has been their support. Even with the basic support plan, the responses are fast and all issues/questions I've had have been resolved within the same day. I also like that the services a flexible, affordable, and ease to use the platform. The add-ons like Malware Protection and Cloudflare are appropriately priced and make it easy to implement with their documentation.What do you dislike about Cloudways?There isn't really anything that I dislike so far, and I've built several servers and websites on Cloudways. I wish the Cloudflare statistics could look back further than 72 hours. Also, some of the add-ons are priced per month, so if you start at the end of a billing cycle you will be charged for the entire month still. In the future it would be good if they added support for Windows servers, non-PHP apps, and integration with Digital Ocean or other Cloud providers.What problems is Cloudways solving and how is that benefiting you?Cloudways is providing an affordable VPS that makes it easy to build websites pretty quickly."
Marco S.,8,"Aug 12, 2024",cloudways,https://www.g2.com/products/cloudways/reviews/cloudways-review-9994879,"""Easy to use and fast""","What do you like best about Cloudways?One of the things I really like about Cloudways is how user-friendly it is compared to other cloud hosting providers. Setting up a server is easy—you just click ""deploy,"" and you're good to go, no need to mess with terminal commands or complex configurations. The hosting's performance is also impressive, especially if you're running a WordPress site, thanks to the built-in Breeze cache that keeps things speedy. Another great feature is the variety of add-ons available; you can easily connect to popular services like Rackspace for email and Cloudflare for CDN, which adds a lot of flexibility to your setup.What do you dislike about Cloudways?One downside to Cloudways is that if you're planning to build a more advanced website with custom pipelines and extensive server configurations, you might find it a bit limiting. It doesn’t offer as much flexibility for those who need to dive deep into server customization, which could be a drawback if your project requires more complex setups.What problems is Cloudways solving and how is that benefiting you?I decided to go with Cloudways for hosting because they offer a complete package that fits all my website's needs. I get everything in one place, like email through the Rackspace add-on, Cloudflare Enterprise for fast CDN, and scalable hosting that can easily handle traffic growth. It’s the all-in-one solution I was looking for that does not exist in other platforms."
Dan S.,10,"Aug 05, 2024",cloudways,https://www.g2.com/products/cloudways/reviews/cloudways-review-9962190,"""Great, straight forward hosting""","What do you like best about Cloudways?Super easy and clear on how get started, awesome documentation, and fast hosting.What do you dislike about Cloudways?Downgrading requires extra steps, but it's reasonable and understandable. Still more flexible than other services.What problems is Cloudways solving and how is that benefiting you?Super fast WooCommerce hosting whiel still being very affordable and flexible."
Taha A.,9,"Aug 02, 2024",cloudways,https://www.g2.com/products/cloudways/reviews/cloudways-review-9955531,"""Recommeded, Better than the most.""","What do you like best about Cloudways?It is adaptable to both techys and begineers. It has 24/7 Support. With that you can easily deploy your applications on servers.
They also provide free SSL which is great!What do you dislike about Cloudways?The only thing I dislik about cloudways is the cache issues. Manytimes my sites styling and structure is lost and I have to do purge in cloudways to fix it, even after aftr intsalling auto cache plugins on wordpress, sometimes it happens.What problems is Cloudways solving and how is that benefiting you?It is solving the problems for those agencies, developers and Wordpress admins who want some flexibility in managing their applications.  They can decide and calcute how much servers of which specs they would need to host how much applications."
Paul D.,10,"Aug 01, 2024",cloudways,https://www.g2.com/products/cloudways/reviews/cloudways-review-9950414,"""Simple No Nonsense Cloud Hosting""","What do you like best about Cloudways?The flexibility. You pay for what you get. Instead of paying a low introductory fee and then getting high prices a year or two later, you just pay for what you need now. It's easy to scale up and down.

Cloudways makes cloud hosting easy to start. The process of setting up your websites and server is simple and quick. The UI/UX design is great too. Very intuitive and simple.

It's also fast and reliable which is something you don't want to mess with for websites.

Also their support team has been great. They've been quick to respond to any issues I've experienced.What do you dislike about Cloudways?Not much. But if I were to pick a few things it would be that:
– Malware Protection 
– SafeUpdates
were included in the pricing.What problems is Cloudways solving and how is that benefiting you?It's a no nonsense cloud hosting solution. I had dabbled with using Amazon AWS which is great, but for just getting the job done Cloudways is a simple and solid alternative."
Randy B.,10,"Jul 26, 2024",cloudways,https://www.g2.com/products/cloudways/reviews/cloudways-review-9160264,"""Best decision I've made in 2023""","What do you like best about Cloudways?The level and speed with which support responds and resolves concerns is top-notch. Migrating my sites from my previous host server went incredibly smooth.What do you dislike about Cloudways?Was a tad confusing (for me) to get set up initially, but after a brief tech support chat, all was good.What problems is Cloudways solving and how is that benefiting you?I was having uptime and security issues with my last host provider and everything was becoming an a-la-carte issue with billing.  Cloudways made it simple to migrate my sites over, all 17 of them, and their dashboard is actually easier to use than cPanel."
Seki H.,10,"Jul 25, 2024",cloudways,https://www.g2.com/products/cloudways/reviews/cloudways-review-4969906,"""My Experience with Cloudways""","What do you like best about Cloudways?I like the fact that you only pay for the resources you use, unlike many traditional hosting companies where you pay for the whole plan.What do you dislike about Cloudways?They do not have a Cpanel and this makes it difficult to move things at the beginning, there is a little bit of a learning curve if you are used to traditional hostingWhat problems is Cloudways solving and how is that benefiting you?I was hosting my blog with one of the famous hosting companies, it was always down and it took a long time to load, since I moved it to Cloudways, I never had a single downtime."
Michael L.,10,"May 09, 2024",wp-engine,https://www.g2.com/products/wp-engine/reviews/wp-engine-review-7658171,"""Reliable, Knowledgeable Service""","What do you like best about WP Engine?The back-end is user-friendly and the techs are fast and helpful. Downtime is nearly 0%.What do you dislike about WP Engine?Better, native file manager options and better pricing options.What problems is WP Engine solving and how is that benefiting you?Trustworthy hosting and managed services."
Deeptansh S.,10,"Mar 11, 2024",wp-engine,https://www.g2.com/products/wp-engine/reviews/wp-engine-review-9409907,"""Best Tools for to Manage their website content""","What do you like best about WP Engine?1. Useful plugins are there to integrate especially for SEO people.
2. We create a Landing page in a simple process.
3. We can do coding if we want to customize the page.What do you dislike about WP Engine?1. Sometimes a website is getting slow.
2. If we do any changes does not reflect after pushing it to live.What problems is WP Engine solving and how is that benefiting you?We can create any pages easily. The main benefit it we don't need help mostly."
Chad F.,10,"Mar 01, 2024",wp-engine,https://www.g2.com/products/wp-engine/reviews/wp-engine-review-9367131,"""Longtime Vendor Partner, Highly Recommend!""","What do you like best about WP Engine?They have been a trusted vendor partner of ours for years and we have had a great experience with them. Their customer service is top notch and they often come to us proactively with solutions and ideas.What do you dislike about WP Engine?Price/cost. With that said, you get what you pay for and it is worth it in this case.What problems is WP Engine solving and how is that benefiting you?They are actively working with us on improving our hosting, including security and efficiency."
Kim P.,8,"Feb 22, 2024",wp-engine,https://www.g2.com/products/wp-engine/reviews/wp-engine-review-99041,"""Intermittent downtime issues in the last couple of months but handled well by tech team""","What do you like best about WP Engine?Our site loads faster now. 

We needed to upgrade from a VPS environment for our Wordpress site to a faster environment. We were looking into a dedicated server environment when we came across WP Engine. It could be faster, if we knew how to manage and optimize a dedicated server for our Wordpress site, but we don't have the technical know-how to make that happen. WP Engine fits our current needs better. When the current setup becomes insufficient because our web traffic increases we will have to re-evaluate.

The staging environment

Being able to make a copy of our site on the fly and test our updates on a staging environment is what everyone who is serious about their site should have. When the updates are tested and approved by the executive team, then at a click of a button, the staging version of the site replaces the old version.

The tech support team is very knowledgeable.

They are also very willing to do some of the ""repairs"" and maintenance work themselves to make sure it is done well.

Automated Backups

Everyone says they do automated backups, but WP Engine's solution is very easy to use. They give you access to several weeks worth of daily backups that you can revert to at any time. Creating a backup before making an update is easy to do and therefore it is actually done.
What do you dislike about WP Engine?Wait times on Live chat is usually around (15-20) minutes. It has been over 30 minutes a handful of times.
Also their service has experience intermittent issues, especially in December 2015 with a couple of bad weeks. Downtime added up to 5 hours over the course of that month. It turned out that they had been victim to a DDoS attack and had been fighting to move their clients around to maintain service. All things considered, it was handled pretty well.Recommendations to others considering WP Engine:Look into hosting your site on a dedicated server before making the switch. If your tech team can manage it, it could be a better fit for you than WP Engine's shared hosting environment.What problems is WP Engine solving and how is that benefiting you?We had been hosting our site on a Virtual Private Server before and were looking to upgrade to a dedicated server. WP Engine offered a solution at a similar price point. While their solution means that our site is still hosted in a shared environment, the idea that if anything goes wrong, there is a strong team that can help is a big deal."
Lorenzo Z.,10,"Dec 13, 2023",wp-engine,https://www.g2.com/products/wp-engine/reviews/wp-engine-review-9007732,"""We use WPE for all of our (non Cpanel required) projects""",What do you like best about WP Engine?The support is ideal for a hosting company but having 3 enviornments fresh out the box is awesome.What do you dislike about WP Engine?We wish it had Cpanel for file mgmt. Its the only reason we dont use it on 100% of all of our client projects. We would use it 100% of the time if it did have that option.What problems is WP Engine solving and how is that benefiting you?The accelartion of 0 to 60. The start of a project is super fun because we can get it going asap with WPE. No BS just hit the ground running. Love that!!
,10,"Dec 13, 2023",wp-engine,https://www.g2.com/products/wp-engine/reviews/wp-engine-review-9007357,"""Most Excellent Space for WordPress sites""","What do you like best about WP Engine?WPEngine provides the best 24/7 technical support I have ever seen. Their plugin updating add on saves me at least 8-10 hours of work a month. The DNS settings are easy to use and they integrate with many domain providers. The ease of implenetation with different URLs was such a great experience. I created one site and then easily pointed our different domains to the main site. It was seamless and the one issue I had, the 24/7 support walked me through it. As for frequency of use, I'm on WP Engine at least 4-5 times a week making updates.What do you dislike about WP Engine?Honestly, I don't have anything I've found in over 3 years of use that I dislike. WPEngine takes on your advice as a user and is always finding ways to make the site easier to use.What problems is WP Engine solving and how is that benefiting you?The ease of backups, the SSL having no cost, and the integration with WordPress and PHP are seamless."
,10,"Dec 13, 2023",wp-engine,https://www.g2.com/products/wp-engine/reviews/wp-engine-review-9003471,"""very competent service - Best WP hosting""",What do you like best about WP Engine?Best WP hosting on the market. The service and ease of use are second to none.What do you dislike about WP Engine?I have not see any downsides yet. i used Wp engine for a year -host 10+ sites and experienced no problemWhat problems is WP Engine solving and how is that benefiting you?Hosting Wordpress sites
Dr. Simon M.,10,"Dec 12, 2023",wp-engine,https://www.g2.com/products/wp-engine/reviews/wp-engine-review-9000838,"""Outta the park""","What do you like best about WP Engine?Seamless. intuitive, rewarding, and the learning curve took me 10 minutes.What do you dislike about WP Engine?It took me too long to find them. Should have had them years ago.What problems is WP Engine solving and how is that benefiting you?Redundancy, updates. It's just a no brainer. Support is excellent."
,10,"Dec 12, 2023",wp-engine,https://www.g2.com/products/wp-engine/reviews/wp-engine-review-8998449,"""Excellent customer support and reliable service.""","What do you like best about WP Engine?Customer support is generally very fast and reliable with handling issues that come up.

The service experience with automatic backups and the ease of creating and managing WP installs has been a huge plus as well for us.What do you dislike about WP Engine?I find connecting over SSH for CLI usage is a little bit slow, but not the end of the world.What problems is WP Engine solving and how is that benefiting you?It's a one stop shop for our WP hosting needs."
Warren K.,10,"Dec 12, 2023",wp-engine,https://www.g2.com/products/wp-engine/reviews/wp-engine-review-8995973,"""Save Yourself the Headaches""","What do you like best about WP Engine?1) The account dashboard is super easy to use (tasks like backing up, restoring, copying to Staging, etc)
2) You can reach Customer Support by phone
3) CSRs actually have technical skills (or can get you in touch with tech support)
4) Integration with Local development is seamlessWhat do you dislike about WP Engine?It is pricier than budget, web-hosting optionsWhat problems is WP Engine solving and how is that benefiting you?WP Engine provides us an easy, secure, reliable web hosting option for us to provide our WP clients."
Justo D.,10,"Dec 11, 2023",wp-engine,https://www.g2.com/products/wp-engine/reviews/wp-engine-review-8993290,"""Support is key""","What do you like best about WP Engine?The 24 hour support is essential. Support is the number one reason I chose WP Engine.What do you dislike about WP Engine?Any time the inteface changes, it's difficult to find tools. The tools are not always in a logical place.What problems is WP Engine solving and how is that benefiting you?Having all the websites I create on one platform is super helpful.  The interface allows me to transfer sites from my development space into client spaces."
,10,"Dec 01, 2023",wp-engine,https://www.g2.com/products/wp-engine/reviews/wp-engine-review-8955146,"""Good Straight Forward Service""","What do you like best about WP Engine?Straight forward domain add n.
Direct login to wp admin.
Dashboard with plugin status.What do you dislike about WP Engine?It Doesn't have a File Manager, just FTP.What problems is WP Engine solving and how is that benefiting you?Bulk site management."
,10,"Nov 22, 2023",wp-engine,https://www.g2.com/products/wp-engine/reviews/wp-engine-review-8916410,"""WP Engine is without a doubt the best WordPress host provider I have encountered""","What do you like best about WP Engine?Support chat is quick to access and if they can't solve your problem they help you to determine appropriate next steps.What do you dislike about WP Engine?Although I don't deal with it, I believe the pricing is a factor that clients consider when deciding on a dedicated server.What problems is WP Engine solving and how is that benefiting you?We are able to host a vast amount of client sites with ease. We can instantly backup, rollback, update, stage and troubleshoot within the WP Engine dashboard. This means that we can easily maintain existing sites for our clients."
Dan K.,8,"Nov 19, 2023",wp-engine,https://www.g2.com/products/wp-engine/reviews/wp-engine-review-8897796,"""Easy to Use For Those Without Much Experience""","What do you like best about WP Engine?I like that it's easy to make backups and environments. Also, I've been pleased with their customer support.What do you dislike about WP Engine?It's a bit costly compared to other hosts I've used in the past.What problems is WP Engine solving and how is that benefiting you?We switched our WordPress theme at the beginning of the year. We created a development environment while setting up the new theme. We then migrated the environment to production and the new theme was live and it all happened without any issues. We were very pleased!"
Daniel B.,10,"Nov 19, 2023",wp-engine,https://www.g2.com/products/wp-engine/reviews/wp-engine-review-8897053,"""WP Engine is excellent""","What do you like best about WP Engine?WP Engine provides very helpful support for a number of issues.What do you dislike about WP Engine?n/a I like most everything about WP Engine.What problems is WP Engine solving and how is that benefiting you?WP Engine has helped me with formatting issues with articles, CDN issues"
,9,"Nov 16, 2023",wp-engine,https://www.g2.com/products/wp-engine/reviews/wp-engine-review-8883588,"""Top-Notch Hosting Services""","What do you like best about WP Engine?Exceptional Performance:

WPEngine consistently delivers blazing-fast website performance, ensuring a seamless and enjoyable user experience for visitors.

The platform's comprehensive security measures provide peace of mind, with automatic updates, daily backups, and proactive threat detection keeping your website safe and sound.

WPEngine's support team stands out with their expertise and responsiveness. Whether it's a technical hiccup or a general inquiry, their support is reliable and efficient.

The intuitive dashboard and user interface make managing your WordPress site a breeze. It's perfect for both beginners and seasoned developers, streamlining the process of site maintenance.

WPEngine easily scales to accommodate growing website needs. With reliable hosting infrastructure, your site can handle increased traffic without sacrificing speed or performance.What do you dislike about WP Engine?While the quality of service justifies the cost, some users may find WPEngine's pricing a bit on the higher side, especially for smaller websites or individuals on a tight budget.What problems is WP Engine solving and how is that benefiting you?WP Engine, with its cutting-edge technology and optimized hosting environment, has significantly addressed this problem. Our website now boasts lightning-fast loading speeds, ensuring a seamless and enjoyable experience for our visitors. This has not only improved user satisfaction but has also contributed to a notable boost in our search engine visibility"
,7,"Nov 15, 2023",wp-engine,https://www.g2.com/products/wp-engine/reviews/wp-engine-review-8876143,"""Pretty good""",What do you like best about WP Engine?support is good and speed is good. portal is good.What do you dislike about WP Engine?updates are messed up. bugs are sometimes not identified.What problems is WP Engine solving and how is that benefiting you?running my business
Nicolas P.,7,"Nov 14, 2023",wp-engine,https://www.g2.com/products/wp-engine/reviews/wp-engine-review-8867903,"""A good service to scale your business""","What do you like best about WP Engine?They have a very friendly dashboard to manage all your sites, with a couple of free tools that will help you on your sites.
We use WPengine to deploy several stores and they are running correctly. We can administrate those all sites easily and fast.
Our first stores were deployed very fast in a couple of clicks. It's ideal for startups that want to go online fast.What do you dislike about WP Engine?If you use the cheapest plans, you share servers with other customers. This can cause your performance to have a negative impact due to the traffic from the other sites. We had to change servers because of that and we will upgrade our plan to have dedicated servers to avoid that problem.What problems is WP Engine solving and how is that benefiting you?They solve the problem of managing servers to deploy WordPress/WooCommerce based stores. Now we can focus on delivering sites and not on managing an infrastructure."
,8,"Nov 13, 2023",wp-engine,https://www.g2.com/products/wp-engine/reviews/wp-engine-review-8861553,"""A little pricey, but generally worth it because of their support""","What do you like best about WP Engine?The best support that I have experienced in the industry. Nothing even comes close. Their team is always prompt to respond and usually goes above and beyond in their solutions.

The overall product is what you'd expect - managed WordPress and WooCommerce hosting. The dashboard is easy to navigate and utilizing the Staging and Development environments for each instance is simple enough.What do you dislike about WP Engine?Entry-level pricing is still competitive, but enterprise options can be atrociously expensive. Depending on your situation, the price just may not be worth it, but if you can afford it their services and support are absolutely top-notch.What problems is WP Engine solving and how is that benefiting you?Currently, WP Engine makes it easy to manage and access a catalog of WordPress sites that our organization currently has in its portfolio. Their dashboard makes it easy to monitor each site individually and the SSO to each site make it seamless to get into the WordPress admin side for each individual site."
Josh C.,9,"Nov 13, 2023",wp-engine,https://www.g2.com/products/wp-engine/reviews/wp-engine-review-8861272,"""Super fast speed and performance alongside handy time saving tools""",What do you like best about WP Engine?The speed achieved and their Smart Plugin Manager plugin to take away the hassle and stress of plugin & theme updates.What do you dislike about WP Engine?They are expensive and there can be a lot of upsells.What problems is WP Engine solving and how is that benefiting you?Saving time and delivering advanced speed/performance to my clients' sites.
Jake L.,7,"Nov 13, 2023",wp-engine,https://www.g2.com/products/wp-engine/reviews/wp-engine-review-8861075,"""Great customer service""","What do you like best about WP Engine?The service WPEngine provide is very good. Whenever I have an issue there is also someone there to help me fix my issues. The integration into the websites I work on seem to be seemless, especially with the migration plugin. This make it incrediably easy.What do you dislike about WP Engine?I don't lilke how the layout on the website is constantly changing. Whenever I get used to the layout of the WPEngine site/dashboard, things seem to be moved around. I would be good if the dashboard block could be rearranged to fit my needs.What problems is WP Engine solving and how is that benefiting you?A useful hosting solution which hold all the sites in one place for us to easily access"
