,Name,Mileage (mi/day),Car Owners,Prices ($),No of Reviews,Insurance Fee,Image URL,Description,7 Days discount,30 Days discount
27,2017 Malibu Chevrolet,1000.0,Auto Select,48.0,5,20.67,https://d1faaofv0bplxp.cloudfront.net/car_placeholder_image.svg,Office Hours: Mon-Sat 9am-6pm. Ride-share and Delivery. 24/7 Roadside Assistance. Don't worry about taking time out of your rental period and cleaning the car before returning it. We have an onsite carwash that will clean it inside/out for $40,5.0,10.0
28,2011 Jetta Volkswagen,1000.0,,39.0,2,19.59,https://static.hyrecar.com/https://s3.amazonaws.com/hyreprod/cars/bf312fd7-1d6b-42ca-bef5-ef20e37cbbb9?p=web.offer.detail.carrousel.fullscreen,Super clean 2011 vw Jetta up to date whit maintenance unlimited miles ready to make money Very decent looking car to impress your customers For more info call or text 708-543-8781 Rideshare and Delivery,,
29,2023 Rogue Nissan,250.0,Ashley,70.0,0,23.31,https://static.hyrecar.com/https://s3.amazonaws.com/hyreprod/cars/ea3b268d-d05d-4b63-9a07-0b015111bc8e?p=web.offer.detail.carrousel.fullscreen,"** DELIVERY ONLY
No animals 
No smoking 
Brand new car",,
30,2023 Sonata Hyundai,300.0,Eligiboor,75.0,2,23.91,https://d1faaofv0bplxp.cloudfront.net/car_placeholder_image.svg,"Before booking please message me yo make sure the car is available as I do rent this car on other platforms it would be best if you can message me with the days you want to rent in advance so I can set those days for the car to be available.     Welcome to the 2023 Hyundai Sonata Hybrid Blue Edition, available for your next adventure on Turo! As your host, I take pride in providing a top-tier experience for all my guests. Here are a few guidelines to ensure an exceptional rental experience:  Rules for Guests: 1. Please treat the Sonata Hybrid Blue Edition with care and respect, as you would your own vehicle. 2. No smoking or vaping is permitted in the car. 3. Pets are not allowed in the vehicle, unless prior arrangements have been made. 4. Please return the car in the same clean condition in which it was received. A cleaning fee may apply if the car is returned excessively dirty.  As an outstanding host, I am committed to providing you with a seamless and enjoyable rental experience. You can expect: 1. Clear and timely communication regarding the rental process and any questions you may have. 2. A well-maintained and clean vehicle ready for your use. 3. Flexibility to accommodate your needs whenever possible. 4. A hassle-free pickup and drop-off process.  I look forward to hosting you and ensuring that your journey with the 2023 Hyundai Sonata Hybrid Blue Edition exceeds your expectations. Feel free to reach out with any inquiries or special requests",5.0,10.0
31,2023 Rogue Nissan,250.0,Ashley,80.0,2,24.51,https://static.hyrecar.com/https://s3.amazonaws.com/hyreprod/cars/847fdb52-e5d8-491c-ada2-c21fe64f336f?p=web.offer.detail.carrousel.fullscreen,"** Delivery Only
No animals
No smoking ",,
32,2009 PRIUS Toyota,300.0,RENT AND,40.0,1,19.71,https://static.hyrecar.com/https://s3.amazonaws.com/hyreprod/cars/6d3660d9-7aa9-4f88-b34e-2b4a51cf98a0?p=web.offer.detail.carrousel.fullscreen,rideshare/delivery,,
33,2013 Jetta Volkswagen,550.0,CHRIS AUTO,40.0,0,19.71,https://static.hyrecar.com/https://s3.amazonaws.com/hyreprod/cars/e0532a52-09c9-4d10-9098-8b4087fa1b1b?p=web.offer.detail.carrousel.fullscreen,"** Rideshare and Delivery
Ready for rideshare or delivery ",,
34,2013 Escape Ford,1000.0,COME-N-,55.0,0,21.51,https://static.hyrecar.com/https://s3.amazonaws.com/hyreprod/cars/4d67f7a6-0140-480f-b9fe-6ef5c8df4327?p=web.offer.detail.carrousel.fullscreen,"**Delivery Only**
Here at COME-N-GO LLC. we have the best cars. Our cars are reliable and highly maintained.",5.0,10.0
35,2018 Civic Honda,1000.0,,47.0,0,20.55,https://static.hyrecar.com/https://s3.amazonaws.com/hyreprod/cars/100382bb-6a14-45ee-ab01-184fb8dba0d9?p=web.offer.detail.carrousel.fullscreen,Open 9AM to 6PM Monday to Saturday. Location 6N509 Virginia rd Roselle IL,5.0,10.0
36,2014 Corolla Toyota,1000.0,Auto Select,43.0,1,20.07,https://d1faaofv0bplxp.cloudfront.net/car_placeholder_image.svg,Office Hours: Mon-Sat 9am-6pm. Ride-share and Delivery. 24/7 Roadside assistance included,5.0,10.0
37,2011 Jetta Volkswagen,1000.0,SKYLINE,45.0,0,20.31,https://static.hyrecar.com/https://s3.amazonaws.com/hyreprod/cars/4d554712-2aac-44d1-a5c9-94a12165168f?p=web.offer.detail.carrousel.fullscreen,,,5.0
38,2013 Encore Buick,550.0,Andrian,47.0,1,20.55,https://static.hyrecar.com/https://s3.amazonaws.com/hyreprod/cars/86bf9649-cdc7-484f-ac1e-0246091cd60f?p=web.offer.detail.carrousel.fullscreen,"*** Delivery Only ***

Super comfortable, economic ride with Buck Encore. 
Runs great with low mileage. Easy to operate with plenty of fantastic features. (heated seats, bluetooth, sun roof)

*** Delivery Only ***",5.0,10.0
39,2021 Jetta Volkswagen,1000.0,James,67.0,0,22.95,https://static.hyrecar.com/https://s3.amazonaws.com/hyreprod/cars/ac69cf84-e4e6-4c01-914f-e320287c1700?p=web.offer.detail.carrousel.fullscreen,,5.0,10.0
40,2017 Forte Kia,1000.0,Marisol,46.0,0,20.43,https://static.hyrecar.com/https://s3.amazonaws.com/hyreprod/cars/48dcda01-80ce-4750-83e6-ad8165f979ce?p=web.offer.detail.carrousel.fullscreen,"*** Delivery Only ***

Well taking care of. With tinted windows. Very nice ride. Sunroof. 

*** Delivery Only ***",5.0,10.0
41,,,,,,,,,,
42,2012 Camry Toyota,1000.0,Peace,47.0,1,20.55,https://static.hyrecar.com/https://s3.amazonaws.com/hyreprod/cars/74438eaf-e4f2-49f0-8d22-8284f7835b80?p=web.offer.detail.carrousel.fullscreen,"** Rideshare and Delivery
Check Out this Beautiful and reliable 
Toyota Camry, 4-cylinder engine 4 door , Front wheel drive 

Features:
Touch screen Bluetooth , Traction Control , Cruise control , Fog lights , air conditioning, Heat, power seats , Window tint ",5.0,10.0
43,2017 Malibu Chevrolet,1000.0,Auto Select,50.0,2,20.91,https://static.hyrecar.com/https://s3.amazonaws.com/hyreprod/cars/2919bd87-56d9-4407-951b-e5f1ae8a9836?p=web.offer.detail.carrousel.fullscreen,Open 9AM to 6PM Monday to Saturday for pick ups. Free roadside assistance within 100miles radius from Chicago. Our address- 6N509 Virginia rd Roselle IL,5.0,10.0
44,2016 Camry Toyota,300.0,Edward,40.0,1,19.71,https://static.hyrecar.com/https://s3.amazonaws.com/hyreprod/cars/b42b9fe4-20be-4dfb-9c90-3ddaa5a29eb7?p=web.offer.detail.carrousel.fullscreen,"If you're looking for a car with great gas mileage and huge amounts of space, end your search now! This Camry comes with 25-35 mpg and more space than you need GREAT for rideshare or delivery! Come pick it up before its gone.",5.0,10.0
45,2022 Pacifica Chrysler,350.0,Shahrukh,90.0,0,25.71,https://static.hyrecar.com/https://s3.amazonaws.com/hyreprod/cars/c0f6de07-93db-475f-b78f-63caa735ed07?p=web.offer.detail.carrousel.fullscreen,"** Rideshare and Delivery
2022 Chrysler Pacifica Plug-In Hybrid - Grey
Experience luxury, efficiency, and versatility with the 2022 Chrysler Pacifica Plug-In Hybrid. This sleek grey minivan combines the efficiency of an electric vehicle with the convenience of a gasoline engine, making it perfect for family trips, weekend getaways, or business travel.

Key Features:
Model Year: 2022
Car Type: Plug-In Hybrid
Color: Grey
Seating Capacity: 7
Doors: 4
License Plate: EJ80048
EV Range: Ideal for eco-friendly short trips.
Rear Entertainment Package: Watch movies and shows.
Why You'll Love It:
Eco-Friendly: Drive on electric power for short trips and switch to gasoline for longer distances.
Spacious Interior: Seats seven with ample cargo space, perfect for families and groups.
Modern Technology: Includes the latest tech, with an optional rear entertainment package. Onboard WiFi is available for an additional fee.
Comfort: Plush seating and a quiet ride ensure a pleasurable journey.
Cost Savings: Hybrid and electric capabilities help save money on fuel.
Book now and enjoy the ultimate combination of efficiency, luxury, and practicality with the 2022 Chrysler Pacifica Plug-In Hybrid!",5.0,10.0
46,2013 Jetta Volkswagen,1000.0,Charlys auto,40.0,0,19.71,https://static.hyrecar.com/https://s3.amazonaws.com/hyreprod/cars/ae3ce9f4-39b8-4b5c-bcde-2f05fced1c75?p=web.offer.detail.carrousel.fullscreen,Super clean 2014 vw Jetta up to date whit maintenance unlimited miles ready to make money Very decent looking car to impress your customers For more info call or text 708-543-8781** Rideshare and Delivery,,
47,,,,,,,,,,
48,2015 Patriot Jeep,250.0,DENNIS,45.0,1,,https://static.hyrecar.com/https://s3.amazonaws.com/hyreprod/cars/71b688cf-4f92-4656-979b-98e17f1f6e2a?p=web.offer.detail.carrousel.fullscreen,"Pickup time: before 8 a.m. or from 6 p.m. to 11:30 Mon-Sat. Patriot : Up to 23 city / 30 highwayFuel tank capacity: 13.5 to 13.6 gaOverall NHTSA safety rating: 4 stars,  sanitized between rentals.Note: This car has been used for rent for more than two years now, and it has some minor dents and scratches that I hope you will not mind.",,
49,2013 RDX Acura,1000.0,Balaji,49.0,0,20.79,https://static.hyrecar.com/https://s3.amazonaws.com/hyreprod/cars/ae974a18-7d05-4747-869d-8ce4862b12fd?p=web.offer.detail.carrousel.fullscreen,"*** Delivery Only ***

The car is in excellent condition for a 2013 model. Drives great!!. Has 23 mpg which is very good for a suv like this. The pickup and drive is enjoyable and far less strain.

*** Delivery Only ***
",5.0,10.0
50,2016 Focus Ford,1000.0,,35.0,0,19.11,https://static.hyrecar.com/https://s3.amazonaws.com/hyreprod/cars/462cbf1a-6d6f-4857-8382-e54fe37aa8d2?p=web.offer.detail.carrousel.fullscreen,,5.0,5.0
51,2012 Jetta Volkswagen,1000.0,,39.0,1,19.59,https://static.hyrecar.com/https://s3.amazonaws.com/hyreprod/cars/edbb478e-f6e1-4b60-b2dd-93a8d32aab4d?p=web.offer.detail.carrousel.fullscreen,Super clean 2012 VW Jetta up to date whit maintenance unlimited miles ready to make money very decent looking car to impress your customers for info call or text 630 754 9372 ,,
52,2015 Accord Honda,250.0,Olayinka,60.0,0,22.11,https://static.hyrecar.com/https://s3.amazonaws.com/hyreprod/cars/e64bde72-8ffe-43e1-b16a-abd93d45f910?p=web.offer.detail.carrousel.fullscreen,"The 2015 Honda Accord Sport is substantial performance, outstanding fuel economy, precise handling, an accommodating cabin, and an enviable overall reputation. The 2015 Accord is a good car, It's relatively athletic by class standards, and it earns good gas mileage estimates.                 

The Accord has an upscale interior and provides a fair amount of room for passengers and their cargo. This Honda also has some nice features, though the available dual-screen infotainment system can be frustrating at times.

Pros:
Quick acceleration
Fuel-efficient base engine
Roomy, inviting interior
",,
53,2015 Camry Toyota,350.0,WILSON,58.0,1,21.87,https://static.hyrecar.com/https://s3.amazonaws.com/hyreprod/cars/e37020c8-14fd-4021-8e44-46bdf36de092?p=web.offer.detail.carrousel.fullscreen,"** Rideshare and Delivery
2015 Toyota Camry drives like new good fuel efficiency features includes but not limited to: Bluetooth, back up camera, 4 Cyl 2.5 liter. ABS, AM/FM STEREO, AIR CONDITIONING, ALARM, AUTOMATIC 6 SPD, MP3, CRUISE CONTROL, POWER SEAT, POWER STEERING AND LOT MORE FEATURES
I CAN BE REACHED (8AM TO 9PM   MONDAY TO   SATURDAY) PLEASE NOTE NO SMOKING INSIDE OUR CARS. THANK YOU.....",5.0,10.0
54,2017 Corolla Toyota,1000.0,Mauve Operations,60.0,1,22.11,https://static.hyrecar.com/https://s3.amazonaws.com/hyreprod/cars/ac1d8399-bbf5-4ebe-bffa-bba50c05183b?p=web.offer.detail.carrousel.fullscreen,"RideShare and Delivery. Smooth to drive, less on gas and easy to maintain ",5.0,10.0
55,2010 Yukon XL Gmc,550.0,Roderick,100.0,0,26.91,https://static.hyrecar.com/https://s3.amazonaws.com/hyreprod/cars/7a67ef1f-b985-4e31-b185-c3700247457b?p=web.offer.detail.carrousel.fullscreen,"*** Delivery Only ***

2010 GMC YUKON XL. BIG MONEY MAKER ESPECIALLY AT AIRPORTS ‼️ All maintenance is updated, and rides like a true champion. I just drove to Houston,TX and back with zero issues very dependable. 4 wheel drive, heated seats front and rear, A/C, sunroof, and high beam LED lights interior and exterior. Very comfortable, my Uber rating is 4.95 and riders really appreciate the extra space which results in TIPS‼️????

*** Delivery Only ***",10.0,20.0
56,2023 Forte Kia,600.0,Bryan,76.0,0,24.03,https://static.hyrecar.com/https://s3.amazonaws.com/hyreprod/cars/067bf4c7-2b68-419f-8d6f-d9a7944d6fe3?p=web.offer.detail.carrousel.fullscreen,"**delivery only**

I would describe the Kia Forte as a stylish and sleek sportscar that is perfect for any driver who wants to turn heads on the road. With its sporty design and powerful engine, the Forte is a fun car to drive that is sure to impress.

One of the key advantages of the Forte is its versatility. Whether you're driving in the city or the suburbs, the Forte is perfectly suited to both environments. In the city, the Forte's compact size and agile handling make it easy to maneuver through traffic and park in tight spaces. On the open road, the Forte's powerful engine and responsive handling make it a pleasure to drive.

Another great feature of the Forte is its advanced technology. With features like Apple CarPlay, Android Auto, and a touchscreen infotainment system, the Forte is packed with the latest tech to keep you connected and entertained on the road.

Overall, the Kia Forte is a cool sportscar that any driver would love to rent. With its style, performance, and technology combination, the Forte is the perfect choice for anyone who wants to make a statement on the road.",5.0,10.0
57,2018 Optima Kia,550.0,Andrew,50.0,0,20.91,https://static.hyrecar.com/https://s3.amazonaws.com/hyreprod/cars/f6c3b94e-ee12-4010-8c4b-b0bb92b44fe8?p=web.offer.detail.carrousel.fullscreen,"** Rideshare and Delivery
White Kia Optima 2018
Black interior, Apple car play, gets terrific gas mileage up to 40 miles per gallon if driven ideally. Reliable and low miles.
Easy pick up",5.0,10.0
58,2020 Tucson Hyundai,1000.0,,78.0,0,24.27,https://static.hyrecar.com/https://s3.amazonaws.com/hyreprod/cars/396f04c1-5526-4168-8ab7-fc519fd044ec?p=web.offer.detail.carrousel.fullscreen,"This is a newly purchased vehicle kept in great condition suitable for travel, ride share, and all local essential needs.",3.0,1.0
59,2009 Fit Honda,250.0,Mohamed,54.0,0,21.39,https://static.hyrecar.com/https://s3.amazonaws.com/hyreprod/cars/540bcc98-6f0d-4723-b77d-19f4ad8fb22f?p=web.offer.detail.carrousel.fullscreen,"Convenient and reliable Honda Fit in the heart of downtown. Car is well maintained and in perfect working condition. 
Great visibility, easy to drive and park in the city with its compact size. 
Super spacious interior with easy loading and unloading from rear hatchback design. 
Great for Uber, Lyft,Grubhub and other delivery services. Car is a gas saver!!",5.0,12.0
60,2015 Altima Nissan,250.0,WILSON,53.0,0,21.27,https://static.hyrecar.com/https://s3.amazonaws.com/hyreprod/cars/0d0ed2dc-5808-4667-9da5-cf5f139119b6?p=web.offer.detail.carrousel.fullscreen,"** Rideshare and Delivery
Clean Nissan Altima S  ready for you. Back up camera, 6 cylinder engine,Easy fill Tire Alert Standard, Pandora integration, 270 Horsepower, 22/32 City/ Highway MPG , four way adjustable front seat, FM/AM, Bluetooth compatible and Lot more……..",5.0,10.0
61,2014 Sentra Nissan,500.0,Gogo,58.0,0,21.87,https://static.hyrecar.com/https://s3.amazonaws.com/hyreprod/cars/133d884f-42ab-4e40-bebd-4052348fdcc3?p=web.offer.detail.carrousel.fullscreen,"Pick Up / Drop off Monday - Friday 9am -6pm Saturday 9am - 2pm 
Earn to Own Available...... Ask us for more details
*All Drivers Will Need To Cover All Tolls and Tickets 
Every 7 days of rental Free Full Service Car Wash 
Perfect for Uber and Lyft 
Gas Milage: 30 city / 40 highway  ",5.0,10.0
62,2015 Fusion Ford,500.0,,55.0,1,21.51,https://static.hyrecar.com/https://s3.amazonaws.com/hyreprod/cars/208cbc55-31b3-4df6-8694-e89e274f1041?p=web.offer.detail.carrousel.fullscreen,Smooth ride! Very clean. Fuel efficient. Uber ready.,5.0,10.0
63,2017 Grand Caravan Dodge,300.0,Rental,52.0,0,21.15,https://static.hyrecar.com/https://s3.amazonaws.com/hyreprod/cars/7c695630-c3f8-428c-8748-ee8c70003bdb?p=web.offer.detail.carrousel.fullscreen,**delivery**,,10.0
64,2022 Jetta Volkswagen,700.0,Madison,68.0,0,,https://static.hyrecar.com/https://s3.amazonaws.com/hyreprod/cars/df255de0-82c8-4434-8762-ee24da809056?p=web.offer.detail.carrousel.fullscreen,"** Rideshare and Delivery
Book and enjoy this cool blue VW jetta. Trust me the ride is just as smooth as the look! Comfortably seats 5 passengers   designed to provide ample legroom.

This sedan is equipped with features such as backup camera, Android Auto, Apple CarPlay, hands-free blue tooth, and USB input capabilities.",,
65,2017 Accent Hyundai,500.0,Mario,43.0,5,20.07,https://static.hyrecar.com/https://s3.amazonaws.com/hyreprod/cars/ad05d9bb-3495-4509-9681-936815a9707b?p=web.offer.detail.carrousel.fullscreen,"- Uber/ Greenlight approved - Come enjoy this fuel-economy car! Clean on the inside and out!   - Economy Car: Great on gas - at 29 mpg city and 39 mpg highway - 34 mpg average  - Touch Screen, Bluetooth, wireless and wired Apple Car Play & Android Auto, Reverse Backup Camera. All the tech features you need!  - Space and storage! Don't waste money on a big gas guzzler just to have luggage space. This 4-door hatchback has more than enough space for your bags.   - Drives pretty smooth for an economy car  I-Pass/ EZ-Pass Toll Transponder #: 01514811264",,5.0
66,2017 RDX Acura,250.0,Kevin,100.0,0,26.91,https://static.hyrecar.com/https://s3.amazonaws.com/hyreprod/cars/70709e6c-20d1-4095-9cdd-c55c46a46a69?p=web.offer.detail.carrousel.fullscreen,"**  Rideshare & deliveryGreat for maneuvering around Chicago, large interior but still easy to navigate and park. All Wheel (Four Wheel) drive for the winters or slick roads. Has Bluetooth and comes with an Aux Cord for easy music connection. Backup camera for easy street parking. WeatherTech Floor Mats. Seats fold down for additional room (great for moving). Conveniently located in the heart of Chicago available for long road trips out of town for short trips around the city. INCLUDES-Heated Seats-Bluetooth-AUX-Back Up Camera -Four Wheel Drive-Sun RoofGREAT CAR TO DRIVE- Spacious interior for 5 Adults plus room for Luggage. No smoking, please clean after yourself and refuel prior to returning car to pick up location. ",10.0,15.0
